threshold_deg,cue_delay_s,cooldown_s,cue_strength,base_pattern,mean_error_deg,bad_posture_percent,number_of_cues,total_comfort_penalty,mean_pressure_kpa,max_pressure_kpa,norm_mean_error_deg,norm_bad_posture_percent,norm_number_of_cues,norm_total_comfort_penalty,overall_score_lower_is_better
8,0.5,3,1.6,wave,4.831043624641822,78.38888888888889,47,9.86321501693903,0.273978194914973,3.8496129414792297,0.20753692040085434,0.21714285714285675,0.7692307692307693,0.83860986031433,0.39424356480044204
8,1.0,8,1.6,pulse,6.811301600155625,82.33333333333334,19,3.9744976164073536,0.11040271156687091,3.8400003199597705,0.6504700847729276,0.42000000000000026,0.05128205128205128,0.1916979285871518,0.39508531203886743
7,1.0,8,1.0,pulse,7.481985206057135,82.27777777777779,19,2.444064605059105,0.06789068347386402,2.4000001999748566,0.8004848886660164,0.4171428571428573,0.05128205128205128,0.02357042162596724,0.39767779733418845
8,2.0,6,1.3,pulse,7.078426429469484,81.27777777777779,24,4.091752000093809,0.11365977778038358,3.120014807428371,0.7102190909091803,0.3657142857142859,0.1794871794871795,0.2045790459332204,0.40099072843408573
8,2.0,3,1.0,pulse,5.141759101524373,81.22222222222221,48,6.295831747492766,0.17488421520813235,2.4060080884245187,0.27703604177631924,0.3628571428571422,0.7948717948717948,0.4467108023224597,0.40137406468146525
8,2.0,6,1.3,wave,6.90333385665609,81.77777777777779,24,4.091797588729376,0.11366104413137156,3.120014807428371,0.6710553514907533,0.3914285714285716,0.1794871794871795,0.20458405412605654,0.40277222378947486
8,1.0,6,1.0,wave,7.368484983516678,81.72222222222221,24,3.1475403700841893,0.08743167694678303,2.4000113903295164,0.7750977859004109,0.38857142857142796,0.1794871794871795,0.10085157389089733,0.4067506220591427
8,2.0,3,1.0,wave,5.6313138095845146,80.5,48,6.292679453432891,0.17479665148424692,2.4060080884245187,0.3865369344153518,0.3257142857142855,0.7948717948717948,0.44636450337466815,0.4119657423373796
7,0.5,8,1.6,wave,6.537921379081237,83.77777777777777,19,3.9868617238412964,0.11074615899559158,3.8400003199597705,0.5893219071645039,0.4942857142857138,0.05128205128205128,0.19305620205829038,0.4134984937595604
8,1.0,3,1.0,pulse,5.4361722368261045,80.83333333333333,49,6.423074865537621,0.17841874626493393,2.4060080884245187,0.3428887454464377,0.3428571428571424,0.8205128205128205,0.460689243754537,0.414197031449513
6,1.0,3,1.0,pulse,5.290418407130692,81.27777777777779,49,6.3794494086149625,0.17720692801708224,2.4060080884245187,0.31028733401185593,0.3657142857142859,0.8205128205128205,0.45589671820257727,0.4153738877661901
5,1.0,6,1.3,wave,5.9875450953123215,84.33333333333334,25,4.262280781955151,0.11839668838764306,3.120014807428371,0.46621678046915194,0.5228571428571431,0.20512820512820512,0.22331268454848882,0.41701526682552065
6,2.0,8,1.3,wave,7.039000594893245,83.55555555555556,19,3.1633830885867993,0.08787175246074441,3.1200002599673136,0.7014005380323347,0.4828571428571427,0.05128205128205128,0.10259199424616994,0.418282452771237
7,1.0,8,1.3,pulse,6.991093951532743,83.61111111111111,19,3.2392479147211963,0.08997910874225544,3.1200002599673136,0.6906850446973788,0.48571428571428565,0.05128205128205128,0.11092621337856,0.41855613754969034
