time_s,pitch_error_deg,roll_error_deg,upper_error_deg,lower_error_deg,posture_mode,posture_state,cue_triggered,bad_posture_duration_s,comfort_penalty,mean_pressure_kpa,max_pressure_kpa,chamber_1_command,chamber_1_pressure_kpa,chamber_1_cue_intensity,chamber_2_command,chamber_2_pressure_kpa,chamber_2_cue_intensity,chamber_3_command,chamber_3_pressure_kpa,chamber_3_cue_intensity,chamber_4_command,chamber_4_pressure_kpa,chamber_4_cue_intensity
33.0,6.8449795328055485,0.8095956595056556,4.298119254261839,0.12523209346985711,neutral,acceptable,False,0.0,0.001852313003521584,0.0926156501760792,0.1852313003521584,0.0,0.0,0.0,0.0,0.1852313003521584,0.027402250633061898,0.0,0.1852313003521584,0.027402250633061898,0.0,0.0,0.0
33.1,6.862141273135803,0.7804943548122458,4.316855288377365,0.09644934052617916,neutral,acceptable,False,0.0,0.001513339723877134,0.0756669861938567,0.1513339723877134,0.0,0.0,0.0,0.0,0.1513339723877134,0.022444387207065097,0.0,0.1513339723877134,0.022444387207065097,0.0,0.0,0.0
33.2,6.883899006028112,0.7507144016963485,4.388928693389467,0.13934644505750018,neutral,acceptable,False,0.0,0.0012363985544076184,0.061819927720380925,0.12363985544076185,0.0,0.0,0.0,0.0,0.12363985544076185,0.018375059907605906,0.0,0.12363985544076185,0.018375059907605906,0.0,0.0,0.0
33.300000000000004,6.810824530642177,0.7263889173959073,4.291583231731554,0.1423520052722677,neutral,acceptable,False,0.0,0.0010101376189510243,0.050506880947551215,0.10101376189510243,0.0,0.0,0.0,0.0,0.10101376189510243,0.01503784934989072,0.0,0.10101376189510243,0.01503784934989072,0.0,0.0,0.0
33.4,6.793936915395877,0.7131439706031979,4.204597502207261,0.13851280943958874,neutral,acceptable,False,0.0,0.0008252824346829868,0.04126412173414934,0.08252824346829868,0.0,0.0,0.0,0.0,0.08252824346829868,0.012302928972784621,0.0,0.08252824346829868,0.012302928972784621,0.0,0.0,0.0
33.5,6.83149619114012,0.7137376871325448,4.283040496301716,0.26962541045096355,neutral,acceptable,False,0.0,0.0006742557491360002,0.03371278745680001,0.06742557491360002,0.0,0.0,0.0,0.0,0.06742557491360002,0.010062863383757614,0.0,0.06742557491360002,0.010062863383757614,0.0,0.0,0.0
33.6,6.970956508524537,0.7055888644074158,4.314896253654618,0.2990007323137885,neutral,acceptable,False,0.0,0.0005508669470441122,0.027543347352205608,0.055086694704411215,0.0,0.0,0.0,0.0,0.055086694704411215,0.008228959421674786,0.0,0.055086694704411215,0.008228959421674786,0.0,0.0,0.0
33.7,7.011966953811874,0.7248059468707749,4.300416969741824,0.25711356556409265,forward_slouch,poor,False,0.1,0.0004500582957350397,0.022502914786751982,0.045005829573503964,0.0,0.0,0.0,0.0,0.045005829573503964,0.006728138474510259,0.0,0.045005829573503964,0.006728138474510259,0.0,0.0,0.0
33.800000000000004,6.92415598334831,0.7336871586474808,4.295305460799673,0.20485549268673797,neutral,acceptable,False,0.0,0.00036769762761552737,0.018384881380776368,0.036769762761552735,0.0,0.0,0.0,0.0,0.036769762761552735,0.0055002821655890655,0.0,0.036769762761552735,0.0055002821655890655,0.0,0.0,0.0
33.9,7.007222534755351,0.7688512568485035,4.355680441921924,0.2643741575685784,forward_slouch,poor,False,0.1,0.00030040896176188584,0.015020448088094291,0.030040896176188582,0.0,0.0,0.0,0.0,0.030040896176188582,0.004495997035225741,0.0,0.030040896176188582,0.004495997035225741,0.0,0.0,0.0
34.0,7.100007572715878,0.7423246633908056,4.303747736264497,0.3176245870343211,forward_slouch,poor,False,0.2,0.0002454341217594607,0.012271706087973035,0.02454341217594607,0.0,0.0,0.0,0.0,0.02454341217594607,0.003674743370325917,0.0,0.02454341217594607,0.003674743370325917,0.0,0.0,0.0
34.1,7.00877861488155,0.7016078514364364,4.265939918109041,0.2971850468978016,forward_slouch,poor,False,0.30000000000000004,0.0002005196774774794,0.01002598387387397,0.02005196774774794,0.0,0.0,0.0,0.0,0.02005196774774794,0.003003276278054745,0.0,0.02005196774774794,0.003003276278054745,0.0,0.0,0.0
34.2,7.101036950129802,0.6692265664118583,4.188581180280445,0.3287623814948607,forward_slouch,poor,False,0.4,0.00016382457649910068,0.008191228824955033,0.016382457649910066,0.0,0.0,0.0,0.0,0.016382457649910066,0.0024543517888355737,0.0,0.016382457649910066,0.0024543517888355737,0.0,0.0,0.0
34.300000000000004,7.0545086819774525,0.6360445333980749,4.230119127008541,0.43622009734217077,forward_slouch,poor,False,0.5,0.00013384467899976526,0.006692233949988262,0.013384467899976524,0.0,0.0,0.0,0.0,0.013384467899976524,0.0020056561632665337,0.0,0.013384467899976524,0.0020056561632665337,0.0,0.0,0.0
34.4,7.076789184908071,0.6723162533471361,4.263249518382923,0.4253733999282346,forward_slouch,poor,False,0.6,0.00010935110274280822,0.00546755513714041,0.01093511027428082,0.0,0.0,0.0,0.0,0.01093511027428082,0.001638922039193469,0.0,0.01093511027428082,0.001638922039193469,0.0,0.0,0.0
34.5,6.944584942967636,0.6457499221689568,4.175521756829271,0.4531927180920706,forward_slouch,poor,True,0.7,0.03849590091710545,1.924795045855272,3.849590091710544,0.0,0.0,0.0,1.6,3.849590091710544,0.438665623095728,1.6,3.849590091710544,0.438665623095728,0.0,0.0,0.0
34.6,6.758542710449364,0.6773044608415651,4.123560649762053,0.5196186328922766,neutral,acceptable,False,0.0,0.03145115104927514,1.5725575524637572,3.1451151049275143,0.0,0.0,0.0,0.0,3.1451151049275143,0.3761013013752633,0.0,3.1451151049275143,0.3761013013752633,0.0,0.0,0.0
34.7,6.817716888839563,0.6811473965946038,4.077033640966424,0.5366020394738336,neutral,acceptable,False,0.0,0.02569559040725779,1.2847795203628896,2.569559040725779,0.0,0.0,0.0,0.0,2.569559040725779,0.3198445174289788,0.0,2.569559040725779,0.3198445174289788,0.0,0.0,0.0
34.800000000000004,6.814781151779035,0.7057096997173262,4.030839272717029,0.5808331421067292,neutral,acceptable,False,0.0,0.020993297362729618,1.0496648681364809,2.0993297362729617,0.0,0.0,0.0,0.0,2.0993297362729617,0.27013774939076973,0.0,2.0993297362729617,0.27013774939076973,0.0,0.0,0.0
34.9,6.8336576575444425,0.6913746263798243,4.107246993369816,0.5410699716897424,neutral,acceptable,False,0.0,0.0171515239453501,0.8575761972675049,1.7151523945350098,0.0,0.0,0.0,0.0,1.7151523945350098,0.22684277806455355,0.0,1.7151523945350098,0.22684277806455355,0.0,0.0,0.0
35.0,6.799119082972793,0.691011737467564,3.999665379455652,0.5093395630983513,neutral,acceptable,False,0.0,0.01401279506335103,0.7006397531675514,1.401279506335103,0.0,0.0,0.0,0.0,1.401279506335103,0.18957131125327942,0.0,1.401279506335103,0.18957131125327942,0.0,0.0,0.0
35.1,6.76517006033785,0.6594100232921706,3.9318483914273914,0.5552091002980543,neutral,acceptable,False,0.0,0.01144845356675779,0.5724226783378895,1.144845356675779,0.0,0.0,0.0,0.0,1.144845356675779,0.15779076964549044,0.0,1.144845356675779,0.15779076964549044,0.0,0.0,0.0
35.2,6.7605636329221515,0.61268702532159,3.9160995597260286,0.521742184746669,neutral,acceptable,False,0.0,0.009353386564041116,0.46766932820205576,0.9353386564041115,0.0,0.0,0.0,0.0,0.9353386564041115,0.13090322689442757,0.0,0.9353386564041115,0.13090322689442757,0.0,0.0,0.0
35.300000000000004,6.667198938763153,0.5960053109652685,3.9467464332046602,0.4615749077719386,neutral,acceptable,False,0.0,0.007641716822821592,0.3820858411410796,0.7641716822821591,0.0,0.0,0.0,0.0,0.7641716822821591,0.10830020197093715,0.0,0.7641716822821591,0.10830020197093715,0.0,0.0,0.0
35.4,6.672398001561842,0.5789690340238446,3.9978939416834915,0.43717603364090823,neutral,acceptable,False,0.0,0.006243282644245241,0.312164132212262,0.624328264424524,0.0,0.0,0.0,0.0,0.624328264424524,0.08939789066752946,0.0,0.624328264424524,0.08939789066752946,0.0,0.0,0.0
